MonuNum,Run_no,MonuNm,Type,Comp_sheet,TOPO,Gauss_Lo,LO,Y_Gauss,Y_LO,X_Gauss,X_LO,MSL_Hgt,H_acc,LatCD,LonCD,P_acc,CM_UTM,UTMCM,E_UTM,Y_UTM,N_UTM,X_UTM,Lat_WGS84,Lon_WGS84,P84_acc,EllpHgt,H84_acc,Geoid_Sep,Src_Geoid,PedHgt,PillHgt,TopSignal,BotSignal,Establ,Date_Revisions,Observed,Computed,Last_insp,Destroy,DegSqr,Invest,Check,Remark,Intervisibility,AREA_NM,Township,Reported_by
676/S,,NYAKUNU,SEC,VQ0211,1832C3,31,,-113995.94,,2089573.71,,1447.9,,185321.197,320454.748,,33,,403298.06,,7911359.59,,0,0,,0,,,,0.2,1.2,0.915,0.46,,,,,1997-06-11 00:00:00,,1832,False,False,,,Nyazura,,
676/T,,Stanford,TERT,TS6817,1730B2,31,,18987.45,,1882215.39,,1502.6,,170107.151,304918.037,,33,,268103.41,,8117255.49,,0,0,,0,,,,0.15,1.2,0.91,0.455,,,,,1997-09-06 00:00:00,,1730,False,False,Built in October 1997,,Mvurwi,,
677/S,,CHIROMWE,SEC,VQ0000,1832C3,31,,-111937.03,,2100861.38,,1229.4,,185928.674,320346.735,,33,,401368.03,,7900054.29,,0,0,,0,,,,0.15,1.2,0.927,0.465,,,,,1991-10-06 00:00:00,,1832,False,False,,,Nyazura,,
678/S,,JOWE,SEC,UQ9205,1831D4,31,,-104601.74,,2095623.22,,1202.5,,185639.721,315934.987,,33,,393976.85,,7905206.74,,0,0,,0,,,,0.15,1.2,0.92,0.455,,,,,1997-06-12 00:00:00,,1831,False,False,,,Hwedza,,
679/S,,JUNCTION,SEC,UP9883,1932A1,31,,-108800.87,,2117457.95,,1040.2,,190828.994,320202.879,,33,,398422.59,,7883430.13,,0,0,,0,,,,0.8,1.2,0.925,0.465,,,,,1997-05-24 00:00:00,,1932,False,False,,,Mutare,,
68/P,,COTOPAXI,PRIM,TN6666,2030B2,31,,24144.9,,2233097.1,,1521.7,,201119.814,304608.408,,33,,266854.73,,7766245.85,,0,0,,0,,,,0.15,1.2,0.915,0.46,,,,,1992-11-09 00:00:00,,2030,False,False,SEC SIGNAL,,Masvingo,,
68/S,,MANDUKWE,SEC,QH5264,2029A2,29,,-44314.7,,2234714.81,,1305.3,,201211.128,292526.405,,27,,753300.47,,7764384.47,,0,0,,0,,,,0.15,1.2,0.925,0.468,,,,,1996-06-12 00:00:00,,2029,False,False,,,Esigodhini,,
68/T,,Olympus,TERT,RL3277,1730A3,29,,-120741.16,,1921202.16,,1296.1,,172204.097,300809.683,,27,,833295.66,,8077198.82,,0,0,,0,,,,0.15,1.2,0.925,0.466,,,,,1996-09-14 00:00:00,,1730,False,False,,,Chinhoyi,,
680/S,,GHATO,SEC,UP8897,1931B2,31,,-100349.92,,2103730.15,,1221.8,,190104.126,315711.186,,33,,389818.95,,7897055.19,,0,0,,0,,,,0.15,1.2,0.96,0.5,,,,,1997-05-14 00:00:00,,1931,False,False,,,Dorowa,,
681/S,,BEPE,SEC,UP9076,1931B2,31,,-101841.2,,2124478.3,,1084.9,,191218.591,315806.097,,33,,391546.62,,7876333.3,,0,0,,0,,,,0.9,1.2,0.95,0.49,,,,,1997-05-20 00:00:00,,1931,False,False,,,Dorowa,,
682/S,,MARIGWANA,SEC,UQ8205,1831D4,31,,-93111.04,,2095011.45,,1006.9,,185621.813,315302.2,,33,,382484.17,,7905688.09,,0,0,,0,,,,0.3,1.2,0.919,0.46,,,,,1997-05-07 00:00:00,,1831,False,False,,,Hwedza,,
683/S,,MARUNDA,SEC,UQ7403,1831D4,31,,-84787.21,,2096621.83,,1213.9,,185715.481,314817.994,,33,,374181.73,,7903983.99,,0,0,,0,,,,0.15,1.2,0.92,0.46,,,,,1997-05-07 00:00:00,,1831,False,False,,,Hwedza,,
684/S,,ziyambe,SEC,UP7895,1931B2,31,,-89090.74,,2105577.02,,1109.1,,190206.062,315046.547,,33,,378585.4,,7895080.99,,0,0,,0,,,,0.15,1.2,0.91,0.455,,,,,1997-05-19 00:00:00,,1931,False,False,,,Dorowa,,
685/S,,DOROWA,SEC,UP6892,1931B2,31,,-79958.47,,2107933.08,,1053.5,,190324.044,314534.63,,33,,369483.22,,7892621.76,,0,0,,0,,,,0.9,1.2,0.92,0.465,,,,,1997-05-19 00:00:00,,1931,False,False,,,Dorowa,,
686/S,,NTIABENSI,SEC,QJ5824,1929C2,29,,-49119.31,,2174974.52,,1399,,193947.917,292806.159,,27,,758818.25,,7824086.21,,0,0,,0,,,,1.1,1.2,0.923,0.464,,,,,1996-09-18 00:00:00,,1929,False,False,,,Nsiza,,
